Data_Category,F2005_06,F2006_07,F2007_08,F2008_09,F2009_10,F2010_11,F2011_12,F2012_13,F2013_14,F2014_15,ObjectId,F2015_16,F2016_17,F2017_18,F2018_19
Non-Residential - Accommodation/Entertainment,936978369.7,968426074.7,975995284.4,926438283,898311701.5,858121266.2,797045460.5,745955738,680555352.2,653386648.2,50,610030683,573298472.6,632828576.6,611964831
Non-Residential - Commercial Office,1870435110,1895933206,1927838096,1907478143,1900144625,1890340959,1870718390,1850259686,1825883346,1819989412,51,1814069891,1794037834,1642710057,1632714145
Non-Residential - Community,103712911.7,55405383.08,56066004.48,54815290.99,53200412.25,51234956.55,48937991.15,47662694.47,43603580.5,43120809.27,52,74324961.91,69984706.2,64324751.83,61612439.16
Non-Residential - Education,115260745.2,119269562.8,124146927.5,126012741.8,130547797.3,130418984,127025137.9,125281505.5,119733149.5,119000112.7,53,114321363.7,107429650.8,124866115.4,120802332.2
Non-Residential - Healthcare,181352265.6,186442052.1,193940089.4,200174186.3,207197397.2,210668611.2,209570987.3,202733948.5,192081931.3,191585970.2,54,186051670.1,180206319.7,181343936.1,178814216.8
Non-Residential - Industrial,69514300.7,73653268.4,70334502.46,61474084.97,54752481.15,48749007.72,42523367.89,39733791.52,35318793.27,36205012.1,55,34492741.73,32425531.21,32691136.96,30583091.54
Non-Residential - Other SubSector,7294826.669,7371314.495,7374640.822,7347158.589,7367402.08,7332858.27,7269112.997,7271106.105,7230139.181,7263416.403,56,7135792.104,6995550.448,6561712.206,6629286.157
Non-Residential - Parking,35576872.43,36484019.63,36773156.29,35163296.52,34167131.08,33034129.19,31129303.97,29098257.22,26747360.69,25633356.08,57,24387036.31,22873059.45,23810690.69,22737386.54
Non-Residential - Public Open Space,1180096.872,1196484.7,1830857.382,2451488.648,3097189.196,3743885.747,4385454.48,4394632.157,4403482.36,4407971.684,58,4442656.533,4458351.21,4354902.383,4402214.728
Non-Residential - Retail,410788859.2,420744449.1,409948497.8,386317574.3,371432547.7,364854670.8,350106585.8,337313641,317929896.4,316247141.2,59,309049947.3,301749968.4,293507925.4,284249581.9
Residential - Apartments,326772657.5,334027010.5,333006366,341411170,336023677.9,335385267.3,315998296.2,304187315.6,285891542.4,309379220.4,60,315492847.4,323014704.8,316520163.4,319541907.9
Residential - Single Dwelling,100569818.3,100863076.7,99801837.62,98822268.62,97339697.21,96370864.98,94578711.84,93185684.4,91588961.18,92319630.53,61,92234072.59,92262802.41,94452533.94,94995109.45
All,4159436834,4199815902,4237056260,4147905686,4093582060,4030255461,3899288800,3787078001,3630967535,3618538701,62,3586033664,3508736951,3417972502,3369046542
