FID,NAME,F2005_06,F2006_07,F2007_08,F2008_09,F2009_10,F2010_11,F2011_12,F2012_13,F2013_14,F2014_15,F2015_16,F2016_17,F2017_18,F2018_19,Shape__Area,Shape__Length
1,Alexandria,42.699389,42.737589,43.899875,44.723233,45.075493,45.333445,46.198464,46.038964,45.984943,47.541577,47.307777,46.409201,47.639341,44.800826,5129711.8671875,12267.9608684566
2,Forest Lodge + Annandale,90.708791,87.590122,83.688848,75.311548,65.28868,54.395945,47.187422,40.732716,38.227136,37.171782,36.380251,35.692,51.808575,62.339334,793947.84375,6817.41673646569
3,Millers Point + Barangaroo,55.348469,55.105834,61.499485,67.005499,72.065515,77.941762,87.22052,70.375023,59.722931,54.019767,49.252598,45.723442,51.186291,50.308036,673931.16796875,4760.14774308935
4,Beaconsfield,50.157219,50.076656,53.604814,55.0089,55.364385,55.646268,57.088845,58.288753,59.425112,62.50042,64.945387,64.173608,61.883877,59.43943,243806.7421875,2313.91940919356
5,Camperdown,132.766754,131.293895,129.555255,125.479377,120.690369,115.778241,113.424804,110.957617,110.097017,112.502182,110.56495,108.502906,112.57469,111.788042,1561043.1484375,6036.69973428281
6,Centennial Park,75.263696,74.938076,78.34482,80.692593,79.700008,78.689475,81.214263,85.339655,89.348811,96.780971,106.416038,107.101072,99.699072,95.406721,377707.3203125,4744.91509675054
7,Chippendale,89.473013,88.876498,92.737898,92.704333,90.638846,88.518599,88.813484,80.681701,74.434607,71.875661,68.851723,68.614693,89.733416,100.789997,669425.046875,3814.85906857173
8,Darlinghurst,107.490671,107.54403,118.226517,121.636178,122.918429,124.009028,127.149729,127.037758,126.825849,130.715948,132.796182,130.193699,127.459666,122.013302,1258153.5703125,5875.26436276814
9,Darlington,69.954692,69.743273,70.377885,70.137787,69.340655,68.433581,68.503211,67.550253,67.0338,68.607448,68.122548,65.871152,65.52253,63.698193,557113.6484375,3462.22475072234
10,Dawes Point,86.755128,87.220105,93.322044,96.042738,97.648417,98.966438,100.789257,101.782023,102.547128,107.255716,107.737784,104.187723,102.043206,98.538677,201392.8203125,3690.5110577635
11,Elizabeth Bay,101.431921,100.329066,104.512076,107.037345,106.067043,105.021607,107.999028,111.876757,115.95365,124.344426,133.996292,132.607123,122.498102,115.164538,361135.65234375,3330.45083583732
12,Erskineville,59.318743,59.252164,61.587976,63.351632,63.453653,63.490568,65.174504,66.763564,68.113724,71.686936,75.075225,76.757375,78.481161,77.063288,1181770.89453125,5276.48774994718
13,Eveleigh,26.674955,27.153826,30.321879,30.606158,30.635393,30.60701,30.515673,31.470638,32.196756,33.868368,34.780425,34.372559,39.510019,40.89035,800970.3125,5051.4960201668
14,Glebe,61.799504,61.514911,63.226418,63.854854,63.282839,62.635463,63.422097,64.249953,65.301818,68.581032,70.198454,68.364544,66.013538,63.259559,2443264.83984375,8777.0282934308
15,Haymarket,83.664078,83.795838,86.552161,88.729578,90.159617,91.386269,93.682535,93.803397,94.249494,98.075794,98.470256,95.033145,92.478185,86.380013,759982.6796875,3817.57030753515
16,Waterloo + Moore Park,107.643931,107.468857,108.040414,107.663587,106.390718,104.915744,104.858993,104.550133,104.696652,108.843859,109.272405,109.788217,116.1577,116.814328,4345076.42578125,11650.7273896717
17,Newtown + St Peters,69.310693,68.734425,70.607264,69.565267,67.3531,65.09946,64.620145,65.429946,66.73382,70.199903,72.353472,71.11442,69.199085,67.049733,1427271.0703125,8815.39463731627
18,Paddington,68.804282,68.46091,69.537128,69.460663,68.470704,67.398098,67.622713,68.08103,68.903603,71.824732,65.166152,54.760398,52.070942,49.388571,670564.578125,4341.78061146137
19,Potts Point,118.704372,118.117784,128.339517,128.116223,125.603116,122.966812,123.185681,125.540126,128.453217,136.447373,126.678596,107.463777,98.835044,90.741471,870985.5390625,6898.16834946753
20,Pyrmont,83.105353,83.168319,85.523593,87.34819,87.579283,87.639826,89.261394,90.736158,92.188368,97.083437,99.978256,98.564285,97.148256,92.373476,1394582.01953125,8623.07049333171
21,Redfern,74.218698,74.121817,77.7361,80.765121,81.474185,82.098515,84.977371,87.131775,88.999647,94.007711,98.359471,96.923631,92.827022,88.501412,1683007.359375,6569.80632274043
22,Rosebery,45.726972,45.63911,47.070341,48.031972,48.078361,48.062723,49.135795,49.276119,49.407434,51.060771,52.259179,56.003488,64.456876,66.205116,2114294.13671875,6662.37418049339
